thisBlock,leftnum,rightnum,leftsize,rightsize,condition,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionstxt.started,start_resp.started,start_resp.keys,start_resp.rt,blocktxt.started,block_resp.started,block_resp.keys,block_resp.rt,left.started,right.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,fbtxt.started,fbtxt.stopped,byetxt.started,byetxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,8.306348699959926,8.306348699959926,space,0.7461564000695944,,,,,,,,,,,,,,,850000,001,2023-01-27_15h36.40.741,numberstroop,2022.2.4,59.867190602753816,
conditions1.xlsx,2,6,0.05,0.1,congruent,right,0,0,0,0,0,0,0,0,,,,,9.078141199890524,9.078141199890524,space,0.7729621001053602,10.027791499975137,10.027791499975137,10.027791499975137,right,1,0.6079516001045704,10.659668099950068,11.662442799890414,,,850000,001,2023-01-27_15h36.40.741,numberstroop,2022.2.4,59.867190602753816,
conditions1.xlsx,6,2,0.05,0.1,incongruent,left,0,0,0,0,0,1,1,3,,,,,,,,,11.662442799890414,11.662442799890414,11.662442799890414,right,0,0.7813916001468897,12.462013399926946,13.462011499912478,,,850000,001,2023-01-27_15h36.40.741,numberstroop,2022.2.4,59.867190602753816,
conditions1.xlsx,6,2,0.1,0.05,congruent,left,0,0,0,0,0,2,2,1,,,,,,,,,13.462011499912478,13.462011499912478,13.462011499912478,left,1,0.50127620017156,13.979306899942458,14.980135599966161,,,850000,001,2023-01-27_15h36.40.741,numberstroop,2022.2.4,59.867190602753816,
conditions1.xlsx,2,6,0.1,0.05,incongruent,right,0,0,0,0,0,3,3,2,,,,,,,,,14.980135599966161,14.980135599966161,14.980135599966161,left,0,0.6545197000959888,15.664086799952202,16.664805399952456,,,850000,001,2023-01-27_15h36.40.741,numberstroop,2022.2.4,59.867190602753816,
conditions1.xlsx,6,2,0.05,0.1,incongruent,left,0,0,0,0,1,0,4,3,,,,,,,,,16.664805399952456,16.664805399952456,16.664805399952456,left,1,0.5630135000683367,17.248797399923205,18.249587899888866,,,850000,001,2023-01-27_15h36.40.741,numberstroop,2022.2.4,59.867190602753816,
conditions1.xlsx,6,2,0.1,0.05,congruent,left,0,0,0,0,1,1,5,1,,,,,,,,,18.249587899888866,18.249587899888866,18.249587899888866,left,1,0.5140492001082748,18.783182199927978,19.784061199985445,,,850000,001,2023-01-27_15h36.40.741,numberstroop,2022.2.4,59.867190602753816,
conditions1.xlsx,2,6,0.05,0.1,congruent,right,0,0,0,0,1,2,6,0,,,,,,,,,19.784061199985445,19.784061199985445,19.784061199985445,right,1,0.4511229001218453,20.251106399926357,21.252055299934,,,850000,001,2023-01-27_15h36.40.741,numberstroop,2022.2.4,59.867190602753816,
conditions1.xlsx,2,6,0.1,0.05,incongruent,right,0,0,0,0,1,3,7,2,,,,,,,,,21.252055299934,21.252055299934,21.252055299934,right,1,0.3508018001448363,21.618867799988948,22.620263199904002,,,850000,001,2023-01-27_15h36.40.741,numberstroop,2022.2.4,59.867190602753816,
conditions1.xlsx,6,2,0.05,0.1,incongruent,left,0,0,0,0,2,0,8,3,,,,,,,,,22.620263199904002,22.620263199904002,22.620263199904002,left,1,0.4469379000365734,23.086962599889375,24.088016099995002,,,850000,001,2023-01-27_15h36.40.741,numberstroop,2022.2.4,59.867190602753816,
