thisBlock,leftnum,rightnum,leftsize,rightsize,condition,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionstxt.started,start_resp.started,start_resp.keys,start_resp.rt,blocktxt.started,block_resp.started,block_resp.keys,block_resp.rt,left.started,right.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,fbtxt.started,fbtxt.stopped,byetxt.started,byetxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
conditions1.xlsx,6,2,0.1,0.05,congruent,left,0,0,0,0,4,0,16,1,,,,,,,,,32.94945439998992,32.94945439998992,32.94945439998992,left,1,0.3475796999409795,33.316183599992655,34.317011300008744,,,990492,001,2023-01-27_16h54.04.641,numberstroop,2022.2.4,60.064497272800374,
conditions1.xlsx,2,6,0.1,0.05,incongruent,right,0,0,0,0,4,1,17,2,,,,,,,,,34.317011300008744,34.317011300008744,34.317011300008744,right,1,0.46820650005247444,34.81739630002994,35.81839550007135,,,990492,001,2023-01-27_16h54.04.641,numberstroop,2022.2.4,60.064497272800374,
conditions1.xlsx,2,6,0.05,0.1,congruent,right,0,0,0,0,4,2,18,0,,,,,,,,,35.81839550007135,35.81839550007135,35.81839550007135,right,1,0.4478215000126511,36.285352700040676,37.286198100075126,,,990492,001,2023-01-27_16h54.04.641,numberstroop,2022.2.4,60.064497272800374,
conditions1.xlsx,6,2,0.05,0.1,incongruent,left,0,0,0,0,4,3,19,3,,,,,,,,,37.286198100075126,37.286198100075126,37.286198100075126,right,0,0.3158294999739155,37.619943500030786,38.62067430000752,,,990492,001,2023-01-27_16h54.04.641,numberstroop,2022.2.4,60.064497272800374,
conditions2.xlsx,6,2,0.1,0.1,neutral,left,0,1,1,1,0,0,0,3,,,,,38.62067430000752,38.62067430000752,space,0.9896135999588296,39.65210599999409,39.65210599999409,39.65210599999409,left,1,0.6782454999629408,40.35545649996493,41.35625010007061,,,990492,001,2023-01-27_16h54.04.641,numberstroop,2022.2.4,60.064497272800374,
conditions2.xlsx,6,2,0.1,0.1,neutral,left,0,1,1,1,0,1,1,1,,,,,,,,,41.35625010007061,41.35625010007061,41.35625010007061,left,1,0.43723099993076175,41.82330429996364,42.824263200047426,,,990492,001,2023-01-27_16h54.04.641,numberstroop,2022.2.4,60.064497272800374,
conditions2.xlsx,2,6,0.1,0.1,neutral,right,0,1,1,1,0,2,2,0,,,,,,,,,42.824263200047426,42.824263200047426,42.824263200047426,right,1,0.32135049998760223,43.17433720000554,44.175317500019446,,,990492,001,2023-01-27_16h54.04.641,numberstroop,2022.2.4,60.064497272800374,
conditions2.xlsx,2,6,0.1,0.1,neutral,right,0,1,1,1,0,3,3,2,,,,,,,,,44.175317500019446,44.175317500019446,44.175317500019446,right,1,0.30702890001703054,44.50908370001707,45.50970980001148,,,990492,001,2023-01-27_16h54.04.641,numberstroop,2022.2.4,60.064497272800374,
conditions2.xlsx,2,6,0.1,0.1,neutral,right,0,1,1,1,1,0,4,0,,,,,,,,,45.50970980001148,45.50970980001148,45.50970980001148,right,1,0.32328850007615983,45.860210000071675,46.860720700002275,,,990492,001,2023-01-27_16h54.04.641,numberstroop,2022.2.4,60.064497272800374,
conditions2.xlsx,2,6,0.1,0.1,neutral,right,0,1,1,1,1,1,5,2,,,,,,,,,46.860720700002275,46.860720700002275,46.860720700002275,right,1,0.237843899987638,47.1276610000059,48.12882850004826,,,990492,001,2023-01-27_16h54.04.641,numberstroop,2022.2.4,60.064497272800374,
conditions2.xlsx,6,2,0.1,0.1,neutral,left,0,1,1,1,1,2,6,1,,,,,,,,,48.12882850004826,48.12882850004826,48.12882850004826,right,0,0.3282545000547543,48.47880499996245,49.47984460007865,,,990492,001,2023-01-27_16h54.04.641,numberstroop,2022.2.4,60.064497272800374,
conditions2.xlsx,6,2,0.1,0.1,neutral,left,0,1,1,1,1,3,7,3,,,,,,,,,49.47984460007865,49.47984460007865,49.47984460007865,left,1,0.4175962000153959,49.929994600010104,50.93095660000108,,,990492,001,2023-01-27_16h54.04.641,numberstroop,2022.2.4,60.064497272800374,
conditions2.xlsx,6,2,0.1,0.1,neutral,left,0,1,1,1,2,0,8,3,,,,,,,,,50.93095660000108,50.93095660000108,50.93095660000108,left,1,0.35833369998726994,51.314583600033075,52.31527190003544,,,990492,001,2023-01-27_16h54.04.641,numberstroop,2022.2.4,60.064497272800374,
conditions2.xlsx,2,6,0.1,0.1,neutral,right,0,1,1,1,2,1,9,2,,,,,,,,,52.31527190003544,52.31527190003544,52.31527190003544,right,1,0.4698377000167966,52.815750000067055,,,,990492,001,2023-01-27_16h54.04.641,numberstroop,2022.2.4,60.064497272800374,
conditions2.xlsx,6,2,0.1,0.1,neutral,left,0,1,1,1,2,2,10,1,,,,,,,,,53.81670099997427,53.81670099997427,53.81670099997427,left,1,0.4729120999109,54.316930099972524,55.3178351999959,,,990492,001,2023-01-27_16h54.04.641,numberstroop,2022.2.4,60.064497272800374,
